Name,rank
UNIVERSITÃ‰ PARIS-SORBONNE |PARIS IV,221
ARIZONA STATE UNIVERSITY,222
QUEEN'S UNIVERSITY,223
SAPIENZA - UNIVERSITÃ€ DI ROMA,224
UNIVERSITY OF TSUKUBA,225
SIMON FRASER UNIVERSITY,226
KING SAUD UNIVERSITY |KSU,227
AMERICAN UNIVERSITY OF BEIRUT |AUB,228
UNIVERSITÃ‰ PARIS 1 PANTHÃ‰ON-SORBONNE ,229
VICTORIA UNIVERSITY OF WELLINGTON,230
RHEINISCHE FRIEDRICH-WILHELMS-UNIVERSITÃ„T BONN,231
UNIVERSITÃ„T HAMBURG,232
UNIVERSITY OF ARIZONA,233
UNIVERSITY OF TURKU,234
ROYAL HOLLOWAY UNIVERSITY OF LONDON,235
AL-FARABI KAZAKH NATIONAL UNIVERSITY,236
LOUGHBOROUGH UNIVERSITY,237
TUFTS UNIVERSITY,238
UNIVERSIDAD COMPLUTENSE DE MADRID |UCM,239
UNIVERSITY OF LEICESTER,240
NATIONAL CHENG KUNG UNIVERSITY,241
UNIVERSITÃ‰ PARIS-SUD 11,242
NATIONAL TAIWAN UNIVERSITY OF SCIENCE AND TECHNOLOGY,243
UNIVERSITY OF DUNDEE,244
UNIVERSIDAD DE NAVARRA,245
UNIVERSITY OF NEWCASTLE,246
MACQUARIE UNIVERSITY,247
TECHNISCHE UNIVERSITÃ„T DARMSTADT,248
INDIAN INSTITUTE OF TECHNOLOGY MADRAS |IITM,249
"NATIONAL UNIVERSITY OF IRELAND, GALWAY |NUIG",250
"UNIVERSITY OF MASSACHUSETTS, AMHERST",251
CHULALONGKORN UNIVERSITY,252
RMIT UNIVERSITY,253
"SOAS - SCHOOL OF ORIENTAL AND AFRICAN STUDIES, UNIVERSITY OF LONDON ",254
UNIVERSITY OF EAST ANGLIA |UEA,255
UNIVERSITY OF MIAMI,256
BEIJING NORMAL UNIVERSITY ,257
SAINT-PETERSBURG STATE UNIVERSITY,258
NORWEGIAN UNIVERSITY OF SCIENCE AND TECHNOLOGY,259
UNIVERSITÃ‰ DE STRASBOURG,260
UNIVERSITY OF SURREY,261
UNIVERSITÃ‰ PARIS DIDEROT - PARIS 7,262
UNIVERSITÃ„T STUTTGART,263
ECOLE NORMALE SUPÃ‰RIEURE DE CACHAN,264
KYUNG HEE UNIVERSITY,265
UNIVERSITÃ„T FRANKFURT AM MAIN,266
UNIVERSITY OF GOTHENBURG,267
Ã‰COLE DES PONTS PARISTECH,268
UNIVERSIDAD NACIONAL DE COLOMBIA,269
UNIVERSITI PUTRA MALAYSIA |UPM,270
"UNIVERSITY OF CALIFORNIA, RIVERSIDE |UCR",271
UNIVERSIDAD DE LOS ANDES COLOMBIA,272
UNIVERSITÃ„T ERLANGEN-NÃœRNBERG,273
UNIVERSITY OF STRATHCLYDE,274
WUHAN UNIVERSITY,275
QUEENSLAND UNIVERSITY OF TECHNOLOGY |QUT,276
NORTH CAROLINA STATE UNIVERSITY,277
HARBIN INSTITUTE OF TECHNOLOGY,278
HONG KONG BAPTIST UNIVERSITY |HKBU,279
"BIRKBECK COLLEGE, UNIVERSITY OF LONDON",280
UNIVERSIDAD CARLOS III DE MADRID,281
LINKÃ–PING UNIVERSITY,282
DALHOUSIE UNIVERSITY,283
KING ABDUL AZIZ UNIVERSITY |KAU,284
MAHIDOL UNIVERSITY,285
UNIVERSITAT POMPEU FABRA,286
UNIVERSITY COLLEGE CORK |UCC,287
UNIVERSITI TEKNOLOGI MALAYSIA |UTM,288
UNIVERSITY OF SOUTH AUSTRALIA |UNISA,289
UNIVERSITY OF ST GALLEN |HSG,290
INDIANA UNIVERSITY BLOOMINGTON,291
NOVOSIBIRSK STATE UNIVERSITY,292
UNIVERSITY OF OTTAWA,293
UMEÃ… UNIVERSITY,294
WESTFÃ„LISCHE WILHELMS-UNIVERSITÃ„T MÃœNSTER ,295
"UNIVERSITY OF CALIFORNIA, SANTA CRUZ |UCSC",296
HIROSHIMA UNIVERSITY,297
SUN YAT-SEN UNIVERSITY,298
BOSTON COLLEGE,299
UNIVERSITÃ„T INNSBRUCK,300
"RUTGERS - THE STATE UNIVERSITY OF NEW JERSEY, NEW BRUNSWICK",301
CHARLES UNIVERSITY,302
INDIAN INSTITUTE OF TECHNOLOGY KANPUR |IITK,303
UNIVERSITI KEBANGSAAN MALAYSIA |UKM,304
POLITECNICO DI TORINO,305
BAUMAN MOSCOW STATE TECHNICAL UNIVERSITY,306
CURTIN UNIVERSITY,307
NATIONAL YANG MING UNIVERSITY,308
UNIVERSIDAD AUSTRAL,309
NATIONAL TAIWAN NORMAL UNIVERSITY,310
PONTIFICIA UNIVERSIDAD CATÃ“LICA ARGENTINA SANTA MARÃçA DE LOS BUENOS AIRES |UCA,311
RENSSELAER POLYTECHNIC INSTITUTE,312
INDIAN INSTITUTE OF TECHNOLOGY KHARAGPUR |IITKGP,313
CITY UNIVERSITY LONDON,314
NANKAI UNIVERSITY,315
TONGJI UNIVERSITY,316
UNIVERSITY OF LIEGE,317
XI'AN JIAOTONG UNIVERSITY,318
TAMPERE UNIVERSITY OF TECHNOLOGY ,319
BEN GURION UNIVERSITY OF THE NEGEV,320
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,321
UNIVERSITAT POLITÃˆCNICA DE CATALUNYA ,322
UNIVERSITY OF PORTO,323
UNIVERSITY OF WAIKATO,324
UNIVERSITY OF INDONESIA,325
UNIVERSITY OF VICTORIA,326
HERIOT-WATT UNIVERSITY,327
UNIVERSITÃ‰ DE MONTPELLIER ,328
TOKYO MEDICAL AND DENTAL UNIVERSITY ,329
TILBURG UNIVERSITY,330
UNIVERSITI SAINS MALAYSIA |USM,331
UNIVERSITY OF ESSEX,332
